Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_speciation[1]	log_speciation[2]	log_speciation[3]	rate_12	rate_21	rate_31	rate_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	speciation[1]	speciation[2]	speciation[3]
34	-1585.63	-1582.73	-2.90485	0.207269	0.138952	0.0555534	-1.57374	-1.97363	-2.89041	-1.5872	-1.52605	-1.36195	0.01891786	0.08473564	0.1064558	0.03632877	0.425082	0.252459	0.322459	0.204498	0.217393	0.25616
35	-1585.63	-1583.22	-2.40947	0.191781	0.144625	0.0555534	-1.6514	-1.93361	-2.89041	-1.59727	-1.43165	-1.3835	0.01615197	0.071315	0.07268801	0.03072432	0.129195	0.254244	0.616562	0.202449	0.238915	0.2507
36	-1583.96	-1581.74	-2.22498	0.194239	0.128202	0.0522302	-1.63866	-2.05414	-2.95209	-1.52338	-1.73044	-1.35536	0.01006506	0.07894863	0.08414716	0.02493101	0.408563	0.172678	0.418759	0.217974	0.177206	0.257855
37	-1584.36	-1582.03	-2.3261	0.197022	0.127559	0.0558575	-1.62444	-2.05918	-2.88495	-1.50534	-1.80541	-1.35536	0.01224296	0.08216761	0.09870582	0.02190541	0.408563	0.172678	0.418759	0.221942	0.164407	0.257855
38	-1585.89	-1582.95	-2.93523	0.233679	0.131117	0.0486491	-1.45381	-2.03166	-3.02312	-1.24552	-1.80541	-1.3109	0.01224296	0.1246195	0.09870582	0.02667125	0.350768	0.256532	0.3927	0.287792	0.164407	0.269577
39	-1585.62	-1582.66	-2.96433	0.239155	0.115135	0.0476254	-1.43064	-2.16165	-3.04439	-1.26274	-1.82674	-1.34627	0.01292508	0.130657	0.09870582	0.02410912	0.350768	0.256532	0.3927	0.282878	0.160937	0.26021
40	-1584.99	-1581.79	-3.20345	0.245311	0.122406	0.0423896	-1.40523	-2.10041	-3.16085	-1.32286	-1.77411	-1.27009	0.01292508	0.130657	0.09870582	0.0308472	0.350768	0.256532	0.3927	0.266373	0.169634	0.280806
41	-1584.67	-1581.48	-3.19032	0.274463	0.119267	0.0389308	-1.29294	-2.12639	-3.24597	-1.25765	-1.99601	-1.38185	0.01956058	0.0864479	0.09870582	0.02591827	0.287175	0.210024	0.502801	0.284321	0.135877	0.251114
42	-1584.33	-1581.23	-3.10556	0.228237	0.118596	0.0390621	-1.47737	-2.13203	-3.2426	-1.43981	-1.95633	-1.31475	0.01923047	0.09202823	0.09870582	0.02591827	0.246672	0.180402	0.572926	0.236972	0.141377	0.268542
43	-1583.75	-1580.81	-2.93296	0.237152	0.122066	0.0444309	-1.43905	-2.10319	-3.11382	-1.34145	-1.79902	-1.31475	0.01216052	0.07803666	0.09870582	0.04096721	0.422393	0.308915	0.268692	0.261466	0.165461	0.268542
44	-1585.25	-1582.2	-3.05363	0.228705	0.109812	0.0453025	-1.47532	-2.20898	-3.09439	-1.31956	-1.64721	-1.54015	0.01300175	0.1208041	0.08030516	0.04096721	0.161422	0.118055	0.720522	0.267254	0.192586	0.214349
45	-1585	-1581.84	-3.15824	0.244431	0.119242	0.0445373	-1.40882	-2.1266	-3.11143	-1.317	-1.8785	-1.50451	0.01300175	0.1350679	0.08030516	0.0428426	0.119219	0.0769129	0.803868	0.267938	0.152819	0.222125
46	-1585.96	-1582.93	-3.03054	0.283692	0.100824	0.0499565	-1.25987	-2.29438	-2.9966	-1.31352	-1.8785	-1.47878	0.007947605	0.1612284	0.08030516	0.0428426	0.119219	0.0769129	0.803868	0.268871	0.152819	0.227915
47	-1585.45	-1582.4	-3.05222	0.271935	0.121959	0.0487022	-1.30219	-2.10407	-3.02203	-1.2545	-2.06226	-1.36606	0.007947605	0.150298	0.08030516	0.04573345	0.211701	0.136576	0.651723	0.285219	0.127166	0.255111
48	-1586.03	-1583.11	-2.91998	0.23897	0.109099	0.0568405	-1.43142	-2.2155	-2.86751	-1.19886	-1.97119	-1.38315	0.008094857	0.150298	0.08202288	0.04410045	0.267596	0.126892	0.605512	0.301538	0.13929	0.250788
49	-1588.45	-1585.89	-2.56247	0.242554	0.118663	0.0576895	-1.41653	-2.13147	-2.85268	-1.18168	-2.05357	-1.48448	0.005012453	0.150298	0.07195285	0.04410045	0.234681	0.234284	0.531034	0.306763	0.128276	0.226621
50	-1587.58	-1584.86	-2.72334	0.244397	0.106609	0.0545002	-1.40896	-2.23859	-2.90955	-1.17608	-1.91198	-1.49652	0.005303217	0.1397339	0.08526761	0.04613379	0.234681	0.234284	0.531034	0.308487	0.147787	0.223908
51	-1585.74	-1583.41	-2.32521	0.22968	0.102409	0.0615372	-1.47107	-2.27878	-2.78811	-1.26333	-2.00624	-1.4625	0.006754276	0.1032279	0.07312695	0.03665356	0.234681	0.234284	0.531034	0.282711	0.134493	0.231657
52	-1587.16	-1584.86	-2.30191	0.240846	0.112276	0.0661764	-1.4236	-2.1868	-2.71543	-1.23677	-1.99603	-1.4625	0.008520482	0.1032279	0.06270666	0.03610623	0.140689	0.140451	0.71886	0.290322	0.135874	0.231657
53	-1587.54	-1585.19	-2.34742	0.252164	0.130794	0.0711806	-1.37768	-2.03413	-2.64254	-1.13331	-1.92979	-1.33265	0.009492801	0.09570014	0.06270666	0.03610623	0.140689	0.140451	0.71886	0.321967	0.145178	0.263777
54	-1585.35	-1582.75	-2.60509	0.243608	0.138252	0.0733569	-1.41219	-1.97868	-2.61242	-1.23831	-1.92979	-1.21801	0.01207049	0.09517513	0.08593194	0.03571865	0.140689	0.140451	0.71886	0.289873	0.145178	0.295818
55	-1584.31	-1582	-2.30846	0.254695	0.141066	0.0733569	-1.36769	-1.95853	-2.61242	-1.23803	-1.76309	-1.21801	0.008578046	0.07508132	0.08593194	0.03571865	0.0238199	0.16791	0.80827	0.289956	0.171514	0.295818
56	-1584.37	-1582.5	-1.87138	0.231549	0.143554	0.0713086	-1.46296	-1.94104	-2.64074	-1.23953	-1.67635	-1.26317	0.005717288	0.06600434	0.08513451	0.02829627	0.0238199	0.16791	0.80827	0.289521	0.187056	0.282756
57	-1585.77	-1583.99	-1.78212	0.196384	0.15158	0.0692679	-1.62769	-1.88664	-2.66977	-1.3005	-1.74575	-1.26317	0.005397079	0.07548758	0.0742748	0.02829627	0.0485923	0.342535	0.608872	0.272395	0.174514	0.282756
58	-1585.01	-1583.23	-1.782	0.229226	0.180115	0.0695613	-1.47305	-1.71416	-2.66555	-1.3005	-1.58706	-1.32232	0.003762215	0.08476484	0.06713629	0.0363262	0.0485923	0.342535	0.608872	0.272395	0.204527	0.266516
59	-1584.65	-1582.81	-1.83765	0.205508	0.163646	0.0652469	-1.58227	-1.81005	-2.72958	-1.2802	-1.65258	-1.29898	0.004812137	0.06991565	0.07707954	0.03326268	0.116273	0.394675	0.489052	0.277981	0.191555	0.272809
60	-1585.51	-1583.7	-1.80872	0.198262	0.179459	0.0737883	-1.61817	-1.71781	-2.60655	-1.31544	-1.77096	-1.33831	0.004662991	0.0677072	0.09463266	0.03326268	0.116273	0.394675	0.489052	0.268355	0.170169	0.262288
61	-1587.16	-1585.09	-2.0759	0.204723	0.179459	0.068878	-1.5861	-1.71781	-2.67542	-1.39727	-1.77096	-1.46002	0.01006245	0.04115616	0.1106023	0.03899843	0.116273	0.394675	0.489052	0.247272	0.170169	0.232231
62	-1584.82	-1582.23	-2.59801	0.229411	0.17188	0.068878	-1.47224	-1.76096	-2.67542	-1.41233	-1.75889	-1.39726	0.0173531	0.0738179	0.0845421	0.0418717	0.116273	0.394675	0.489052	0.243576	0.172236	0.247274
63	-1586.07	-1583.86	-2.2144	0.23636	0.166451	0.06874	-1.4424	-1.79306	-2.67742	-1.41226	-1.74081	-1.40114	0.02042942	0.02894534	0.116281	0.03138565	0.113611	0.408534	0.477855	0.243592	0.175379	0.246317
64	-1586.11	-1584.03	-2.08634	0.226242	0.197774	0.0742656	-1.48615	-1.62063	-2.60011	-1.37283	-1.72822	-1.40114	0.01413954	0.036687	0.1163075	0.02895616	0.113611	0.408534	0.477855	0.253389	0.1776	0.246317
65	-1587.27	-1585.47	-1.8027	0.232236	0.194641	0.0795842	-1.46	-1.6366	-2.53094	-1.44953	-1.61596	-1.40114	0.009055846	0.03987023	0.1163075	0.02580871	0.0858508	0.553056	0.361093	0.234681	0.1987	0.246317
